request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
"9be72eff-a417-493e-9ca0-a80d206f6b18",GET,/,"debug=true&locale=en",,302,,,,257646242856400,257646299770000,257646306435500
"c01da4e2-7146-4df5-92a8-5bdf27febd0f",GET,/any/system/welcome,,,200,text/html;charset=utf-8,,,257646335513000,257646337494200,257652602237500
"233060ef-7917-4789-a763-547dd8f81197",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,257652785348800,257652798496400,257652799961800
"e0062537-da44-4b9b-967e-795eb4d90cb0",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,257652812831400,257652815784400,257652817071700
"aaf6ada1-19c9-4460-bf75-2fa97dfeb3bd",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,257652826520700,257652829573600,257652831014500
"8214cc26-727f-435e-aa0b-2f0b6e9b13a4",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,257652839893200,257652843045300,257652844357100
"88565017-cece-4e17-ae63-e19857ea995e",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,257652853645500,257652856538400,257652857875100
"2c3d7c06-cb57-44a5-803a-c02921d0ee1b",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,257652870423800,257652875388200,257652877938800
"97b75260-60e0-4154-8504-f1b52be30d3d",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,257652892628100,257652897367100,257652898847800
"7e32d506-b2eb-4f7b-9301-cfdfb4d75370",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,257652907260400,257652910266100,257652912201100
"759df994-466e-426e-b5dc-e6c4d2ac7634",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,257652919864000,257652922562900,257652923749200
"63f27ba1-4c02-446c-98a4-7d8d0484ee2c",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,257652931641000,257652934615700,257652935737400
"8d3b7f5d-e897-4941-8c93-f061851e316d",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,257652946342800,257652949849800,257652950890300
"56a6c275-a386-4e7f-a933-191e2f66061d",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,257652961228300,257652964344500,257652965462500
"9cff0cde-c8c0-4383-947a-3e5f7e5d31ef",GET,/images/banner.png,,,200,image/png,,,257652972240900,257652975152700,257652976575600
"fa6567ea-a0e2-49d2-87a2-943cf68f22a5",GET,/images/logo.png,,,200,image/png,,,257653009595800,257653013487800,257653014701100
"8c6afa48-8fdd-49b3-a930-da7c39fdcb5d",GET,/images/favicon.ico,,,200,image/x-icon,,,257653023786200,257653041927500,257653043334500
"7b275cf2-6acd-4515-bf6c-07c8b115b1a2",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-solid-900.woff2",,,200,application/font-woff2,,,257653052232000,257653054712100,257653056339700
"43e0f843-8569-4b60-b3c6-09f859651edf",GET,"/libraries/fontawesome/5.2.0/webfonts/fa-brands-400.woff2",,,200,application/font-woff2,,,257653071187500,257653074197900,257653075530500
"63a31c10-4afe-4c53-a9b5-7950116062aa",GET,"/anonymous/system/sign-in",,,200,text/html;charset=utf-8,"remember=false&password=&username=",,257653086097100,257653093568500,257655554096500
"7ec38131-ea03-453b-aba5-ba4bf0019849",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,257655592126300,257655596064100,257655597004900
"c480b384-4b80-475d-a7c8-04446a8dda5a",GET,"/libraries/chart.js/2.7.2/js/chart.bundle.min.js",,,200,application/javascript,,,257655603520200,257655606677200,257655607895100
"58ae2338-399a-4818-8351-942e96bba7eb",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,257655615408400,257655617911200,257655618816800
"c5670255-4bff-4079-8926-5ae7442fb600",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,257655625165400,257655628379200,257655630598000
"f5705931-115f-44d2-84f1-f6b3f3e5bada",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,257655637502500,257655639891500,257655640765600
"39273e4e-74b7-4801-a5e1-f144c3dc1a43",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,257655647831200,257655650271000,257655651142200
"35802996-868c-45a3-bd0f-60b0d099a839",GET,"/libraries/acme/js/acme.js",,,200,application/javascript,,,257655658623500,257655662237100,257655663074000
"0b03de75-bc54-4909-8cfa-25df0ccbbb8d",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,257655669086700,257655671338000,257655672365100
"a9785d94-cbca-4b11-a397-289344f465e3",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,257655678813100,257655681273900,257655682154900
"9cd9a2d6-9d2b-4a97-b858-5aba60d5cc28",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,257655689896500,257655693333800,257655694694000
"6355dce4-d7ce-4066-b039-d3d24b99f7f2",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,257655703647300,257655707430900,257655708274900
"accd2a7a-c0c9-4be6-a50a-269b52732669",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,257655714688200,257655716991600,257655717811600
"7cd62aec-c21d-4a63-8c7f-644ff7f267ce",GET,/images/banner.png,,,200,image/png,,,257655725786100,257655728525600,257655729510700
"c4c85e3a-beef-44f7-9aa3-36287aebc04a",GET,/images/logo.png,,,200,image/png,,,257655736329600,257655738911300,257655740116500
"4677f748-dab0-4d2b-a4a6-971b1becd102",POST,"/anonymous/system/sign-in",,"id=&password=customer1&remember=false&username=customer1&version=",302,,,,257655748543600,257655765442000,257655766443600
"06d39860-8a28-493e-b2e0-313b2e8a8f4e",GET,/,,,302,,,,257655772634800,257655773765300,257655774853600
"4d45e2a1-201e-44c0-aa44-239e41751b5a",GET,/any/system/welcome,,,200,text/html;charset=utf-8,,,257655780752700,257655782463400,257656175813600
